AEI0001,AEI0002,AEI0003,AEI0004,DL0001,DL0002,DL0003,DL0004,DL0005,DL0006,DL0007,DL0008,DL0009,DL0010,DL0011,DL0012,ER0001,ER0002,ER0003,ER0004,ER0005,ER0006,ER0007,ER0008,ER0009,ER0010,ER0011,ER0012,ER0013,INI0001,INI0002,INI0003,INI0004,INI0005_1,INI0005_2,INI0005_3,INI0005_4,INI0005_5,INI0005_6,INI0005_7,INI0005_8,INI0005_9,INI0005_10,INI0005_11,INI0005_12,INI0005_13,INI0005_14,INI0005_15,INI0005_16,INI0005_17,INI0005_18,INI0006,INI0007,INI0008,INI0009,INI0010,INI0011_1,INI0011_2,INI0011_3,INI0011_4,INI0011_5,INI0012,INI0013,INI0014,INI0015,INI0016,INI0017_1,INI0017_2,INI0017_3,INI0017_4,INI0017_5,INI0018,INI0019,INI0020,INI0021,INI0022,INI0023_1,INI0023_2,INI0023_3,INI0023_4,INI0023_5,INI0024,INI0025,INI0026,INI0027,INI0028,INI0029_1,INI0029_2,INI0029_3,INI0029_4,INI0029_5,INI0030,INI0031,INI0032,INI0033,INI0034,INI0035_1,INI0035_2,INI0035_3,INI0035_4,INI0035_5,INI0036,INI0037,TE0001,TE0002,TE0003,TE0004,TE0005,TE0006_1,TE0006_2,TE0006_3,TE0006_4,TE0006_5,TE0006_6,TE0006_7,TE0006_8,TE0006_9,TE0006_10,TE0006_11,TE0006_12,TE0006_13,TE0006_14,TE0007_1,TE0007_2,TE0007_3,TE0007_4,TE0007_5,TE0008,TE0009,TE0010,TE0011,TE0012,TE0013,TE0014,TE0015,TE0016,TE0017,TE0018,TE0019,TE0020,O0001,DUPE0001,DUPE0002
49813802,04/22/1979,178091,1,1,07/28/1978,07/28/1978,07/28/1978,1,Philippines,Davao City,840,2,7.07306,125.613,2,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,0,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178094,1,1,07/28/1978,07/28/1978,07/28/1978,1,Philippines,Philippines,840,2,13,122,2,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,2,0,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178095,1,1,10/02/1978,10/02/1978,10/02/1978,1,Philippines,Philippines,840,2,13,122,2,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,3,0,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178100,1,1,10/02/1978,10/02/1978,10/02/1978,1,Philippines,Philippines,840,2,13,122,2,0,2,,,,,6,0,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,,,New People's Army (NPA),,,,,"7,9,11",0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178096,1,3,11/01/1978,11/01/1978,11/01/1978,1,Philippines,Philippines,840,2,13,122,2,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,3,0,,,,,,,,,,,,,,,,,,,,,"7,9,11",0,11,11,4,4,,,,,0,0,,13,0,0
49813802,04/22/1979,178101,1,3,11/01/1978,11/01/1978,11/01/1978,1,Philippines,Philippines,840,2,13,122,2,0,2,,,,,6,0,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,,,New People's Army (NPA),,,,,"7,9,11",0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178098,1,1,11/17/1978,11/17/1978,11/17/1978,1,Philippines,Luzon,840,2,16,121,2,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,3,0,,,,,,,,,,,,,,,,,,,,,"7,9,11",0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178102,1,1,11/17/1978,11/17/1978,11/17/1978,1,Philippines,Luzon,840,2,16,121,2,0,2,,,,,6,0,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,,,New People's Army (NPA),,,,,"7,9,11",0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178099,1,1,10/03/1978,10/03/1978,10/03/1978,1,Philippines,Tarlac,840,2,14.1833,121.2,2,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,3,0,,,,,,,,,,,,,,,,,,,,,"7,9,11",0,,,,,,,,,0,0,,13,0,0
49813802,04/22/1979,178104,1,1,10/03/1978,10/03/1978,10/03/1978,1,Philippines,Philippines,840,2,13,122,2,0,2,,,,,6,0,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,,,New People's Army (NPA),,,,,"7,9,11",0,,,,,,,,,0,0,,13,0,0
49826356,06/15/1979,178265,1,1,08/19/1978,08/19/1978,08/19/1978,1,Philippines,Iloilo,840,2,10.6969,122.564,27,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,2,0,,,,,,,,,,,,,,,,,,,,,"9,11",0,5,5,,,,,,,0,0,,13,0,0
49826356,06/15/1979,178280,1,1,08/19/1978,08/19/1978,08/19/1978,1,Philippines,Iloilo,840,2,10.6969,122.564,27,0,2,,,,,6,0,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,,,New People's Army (NPA),,,,,"9,11",0,,,,,,,,,0,0,,13,0,0
49826356,06/15/1979,178271,1,1,08/01/1978,08/01/1978,08/01/1978,1,Philippines,Philippines,840,2,13,122,27,0,2,,,,,6,0,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,35,,,0,,New People's Army (NPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,2,0,,,,,,,,,,,,,,,,,,,,,"9,11",0,5,5,3,3,,,,,0,0,,13,0,0
49826356,06/15/1979,178281,1,1,08/01/1978,08/01/1978,08/01/1978,1,Philippines,Philippines,840,2,13,122,27,0,2,,,,,6,0,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,,,New People's Army (NPA),,,,,"9,11",0,,,,,,,,,0,0,,13,0,0
